Store_Name,Store_Lat,Store_Long,Store_City,Store_Chain_Name,Store_Star_Rating,Store_Review,sentiment_vader,sentiment_category_vader,roberta_neg,roberta_neu,roberta_pos,Emotion,sentiment_type
chipotle-mexican-grill-atlanta-11,33.8012423914571,-84.3925908,Atlanta,Chipotle Mexican Grill,5,This was the quickest fastest... fastest quickest order I've ever had. I could barely keep up with them making my food and I like that. Best chipotle I've...,0.7717,positive,0.002466487,0.018200815,0.9793326,admiration,positive
chipotle-mexican-grill-atlanta-11,33.8012423914571,-84.3925908,Atlanta,Chipotle Mexican Grill,5,"There's a lot of mix reviews for this location however I've had nothing but swift, professional customer service. 

The location is located on a nice plaza...",0.4238,positive,0.033085566,0.18348546,0.78342897,admiration,positive
chipotle-mexican-grill-atlanta-11,33.8012423914571,-84.3925908,Atlanta,Chipotle Mexican Grill,4,"This place consistently delivers. I have read other reviews but I am okay. 
When I come here, I know it's not authentic. Therefore, I am realistic about my...",0.3291,positive,0.042849038,0.21956906,0.73758197,approval,positive
chipotle-mexican-grill-atlanta-13,33.8455986013604,-84.3614033823789,Atlanta,Chipotle - Lenox Mall Food Court,3,"This isn't the best chipotle but being in Buckhead, it's the most convenient  as the one on Piedmont is perpetually surrounded by traffic. That being said,...",-0.2924,negative,0.04584457,0.29305524,0.6611002,disapproval,positive
chipotle-mexican-grill-atlanta-13,33.8455986013604,-84.3614033823789,Atlanta,Chipotle - Lenox Mall Food Court,1,If there is a zero I would give it for this Chipotle location. I started to order and the girls who was there was so rude. I asked her about the chicken if...,-0.5949,negative,0.78059494,0.19000587,0.029399153,approval,negative
chipotle-mexican-grill-atlanta-14,33.7739132,-84.36356532716769,Atlanta,Chipotle Mexican Grill,1,Incredibly dirty and unsanitary with poor service to match! How is this place allowed to operate? First and last time going here. Y'all don't have to worry...,-0.7639,negative,0.9693665,0.027542384,0.0030910096,curiosity,negative
chipotle-mexican-grill-atlanta-14,33.7739132,-84.36356532716769,Atlanta,Chipotle Mexican Grill,1,Girl who is making the bowls at 4:18pm is terrible she's doing three bowls at once I kept telling her a little sour cream she put a whole huge scoop there...,-0.0516,negative,0.9034991,0.08620058,0.010300324,fear,negative
chipotle-mexican-grill-atlanta-15,33.9238569,-84.3405724,Atlanta,Chipotle Mexican Grill,2,"Nothing extra special about this location. 

I was disappointed in the cleanliness of the restaurant. I arrived during a downtime, when things can typically...",-0.6551,negative,0.91266054,0.07780186,0.009537611,disapproval,negative
chipotle-mexican-grill-atlanta-15,33.9238569,-84.3405724,Atlanta,Chipotle Mexican Grill,2,Used the Chipotle app for the first time to order one of their new Whole30 salad bowls with carne asada.  The app kept crashing on me and timing out....,0.0,neutral,0.7721127,0.19816476,0.029722491,joy,negative
chipotle-mexican-grill-atlanta-17,33.8101162,-84.4130441,Atlanta,Chipotle Mexican Grill,5,"This week i have been fighting demons. It's been an absolutely devastating time for me. Tonight i place an order through the chipotle app for pick up, and...",-0.796,negative,0.82508284,0.15490456,0.020012595,sadness,negative
chipotle-mexican-grill-atlanta-17,33.8101162,-84.4130441,Atlanta,Chipotle Mexican Grill,1,"I'm a vegan and I ordered a veggie burrito yesterday. There was straight up brisket in my burrito and I feel disgusted.

Y'all need to do better with...",0.1027,positive,0.94606745,0.04856432,0.005368224,disgust,negative
chipotle-mexican-grill-atlanta-17,33.8101162,-84.4130441,Atlanta,Chipotle Mexican Grill,2,"I love a good Chipotle. The food at this location is good, but the online service was not. My parents ordered dinner online, and 3 of the 5 orders were...",0.6705,positive,0.046580993,0.087122075,0.86629695,admiration,positive
chipotle-mexican-grill-atlanta-2,33.9279656,-84.3442099,Atlanta,Chipotle Mexican Grill,4,"This location has been my new ""home"" Chipotle ever since I moved to the Dunwoody location. It's located in an awkward part of the plaza, so it doesn't have...",-0.296,negative,0.72374374,0.24967514,0.026581151,approval,negative
chipotle-mexican-grill-atlanta-2,33.9279656,-84.3442099,Atlanta,Chipotle Mexican Grill,1,"Came here at 11am, not a single person in the front of register. Waited 5 mins and no one even acknowledged me. Eventually I had to go and see if anyone was...",0.0,neutral,0.08650115,0.6751677,0.23833117,realization,positive
chipotle-mexican-grill-atlanta-21,33.64086200000002,-84.42928900000004,Atlanta,Chipotle Mexican Grill,5,Chipotle is my life.                                                        Service is good and fast and nice. The vibe of the restaurant is fitting. and...,0.6908,positive,0.002407037,0.016454777,0.9811382,admiration,positive
chipotle-mexican-grill-atlanta-21,33.64086200000002,-84.42928900000004,Atlanta,Chipotle Mexican Grill,1,"Legitimately THE WORST Chipotle I've EVER been to in my life.  Severely understaffed to start, so I can't blame the workers. They were beyond flustered the...",-0.8185,negative,0.95701426,0.036897082,0.0060886485,disapproval,negative
chipotle-mexican-grill-atlanta-21,33.64086200000002,-84.42928900000004,Atlanta,Chipotle Mexican Grill,5,"The kids opted for Chipotle again and said it was perfect, fresh, tasty, packaged well, and the order was correct. I feel like it came super fast as well...",0.926,positive,0.0015753865,0.016991667,0.981433,admiration,positive
chipotle-mexican-grill-atlanta-29,33.8809875817385,-84.3801342171446,Atlanta,Chipotle Mexican Grill,3,"This is a decent chipotle in the area that's easily accessible. 

The parking can be a bit hit or miss on a Friday or Saturday night due to the crowds from...",0.2023,positive,0.05089581,0.36452147,0.58458275,approval,positive
chipotle-mexican-grill-atlanta-29,33.8809875817385,-84.3801342171446,Atlanta,Chipotle Mexican Grill,1,Server was so rude. Snapped at me for not giving him my order all at once and proceeded to not remember it twice....,-0.7098,negative,0.9503217,0.044962525,0.004715755,annoyance,negative
chipotle-mexican-grill-atlanta-29,33.8809875817385,-84.3801342171446,Atlanta,Chipotle Mexican Grill,1,I wish I could give this location 0 stars. Just encountered the worst humans working in customer service. Avoid this location at all cost! Very very nasty...,-0.5983,negative,0.97945994,0.017687207,0.0028527905,disgust,negative
chipotle-mexican-grill-atlanta-3,33.848149,-84.3741791,Atlanta,Chipotle Mexican Grill,5,"The people were so sweet, and gave me a HUGE bowl. I've never been hooked up that much by a chipotle worker in my life. 10/10 recommendation.",0.7845,positive,0.002726072,0.012583678,0.9846903,admiration,positive
chipotle-mexican-grill-atlanta-3,33.848149,-84.3741791,Atlanta,Chipotle Mexican Grill,1,This location has gone extremely downhill over the past year or so. Prior to that I would have said this was the best Chipotle I had ever visited. In 3 of...,0.6369,positive,0.57061166,0.33435914,0.09502921,admiration,negative
chipotle-mexican-grill-atlanta-3,33.848149,-84.3741791,Atlanta,Chipotle Mexican Grill,1,"THE DIRTIEST CHIPOTLE IVE EVER SEEN PLEASE DO NOT VISIT. 

I went to this chipotle to pick up a quick meal after work before driving home. This is probably...",-0.2732,negative,0.7470825,0.19560869,0.057308886,caring,negative
chipotle-mexican-grill-atlanta-4,33.81478490792663,-84.31010054725552,Atlanta,Chipotle Mexican Grill,1,They opened at 10:45 am and 5 customers including myself where in line. 2 decided to leave. It is now 11:04am and they are still placing items on the...,-0.7339,negative,0.95832896,0.037338495,0.004332502,approval,negative
